Timestamp,Wann haben Sie heute zum letzten Mal Ihr Handy benutzt? Bitte geben Sie die Uhrzeit an.,Aufgrund meiner Smartphone-Nutzung erledige ich geplante Aufgaben nicht.,"Aufgrund meiner Smartphone-Nutzung fällt es mir schwer, mich in der Schule oder Arbeit zu konzentrieren.",Bei der Nutzung des Smartphones bekomme ich Schmerzen in Handgelenk oder Nacken.,"Ich würde es nicht aushalten, kein Smartphone zu haben.","Wenn ich mein Smartphone nicht in der Hand habe, fühle ich mich unruhig und gereizt.","Ich denke ständig an mein Smartphone, auch wenn ich es nicht benutze.","Ich werde nie aufhören, mein Smartphone zu benutzen, selbst wenn mein Alltag bereits stark davon beeinflusst ist.","Ich schaue ständig auf mein Smartphone, um keine Neuigkeiten zu verpassen.",Ich benutze mein Smartphone länger als ich es vorhabe.,"Die Menschen in meinem Umfeld sagen mir, dass ich mein Smartphone zu häufig nutze.","Ich würde sagen, dass ich smartphone-süchtig bin.",Hier ist Platz für Ihre Kommentare,Bitte geben Sie Ihr Geschlecht an.,Bitte geben Sie Ihr Alter an.,Bitte geben Sie das Betriebssystem Ihres (am meisten genutzten) Handies an.,Wie viel Geld haben Sie für Ihr zuletzt gekauftes Handy gezahlt?
21/03/2024 15:36:52,15:31:00,3,5,3,4,4,1,2,2,5,1,4,,,,,
05/04/2024 10:24:58,10:23:00,4,3,3,2,3,3,6,5,6,3,3,,,,,
05/04/2024 10:52:49,10:40:00,3,3,1,4,2,1,1,5,6,1,4,,,,,
05/04/2024 11:15:20,11:14:00,3,3,5,3,3,2,3,3,5,2,2,,,,,
05/04/2024 12:34:37,12:33:00,5,4,1,5,3,3,6,4,6,5,4,,,,,
05/04/2024 12:55:43,10:00:00,5,3,3,4,1,1,5,3,6,2,2,,,,,
05/04/2024 16:02:49,16:00:00,5,3,2,6,3,1,5,1,5,4,5,,,,,
05/04/2024 18:10:09,18:08:00,5,6,4,3,2,2,2,5,6,2,3,,,,,
05/04/2024 18:33:22,18:32:00,1,2,3,2,1,2,2,1,4,1,1,,,,,
05/04/2024 19:51:32,19:36:00,2,4,2,5,2,2,5,5,3,1,1,,,,,
05/04/2024 19:54:10,19:52:00,5,5,1,6,1,1,6,3,6,3,4,,,,,
06/04/2024 17:35:48,17:34:00,3,1,1,4,1,1,1,4,4,1,1,,,,,
07/04/2024 09:18:07,23:45:00,2,1,1,2,1,2,1,3,4,1,3,,,,,
07/04/2024 15:49:43,15:48:00,2,2,4,6,3,4,5,5,5,1,4,,,,,
07/04/2024 17:08:48,14:30:00,2,3,1,5,2,1,4,4,3,1,1,,,,,
07/04/2024 19:12:57,19:10:00,5,3,2,5,2,1,6,4,6,1,3,,,,,
07/04/2024 23:18:29,23:14:00,3,4,2,5,1,2,2,4,6,3,5,"Kommt immer auf die Wichtigkeit von Aufgaben an, ob ich mir erlaube zu prokrastinieren.",,,,
08/04/2024 04:29:36,04:28:00,1,3,1,5,2,2,4,5,4,1,2,,,,,
08/04/2024 09:37:49,09:30:00,2,2,1,5,2,1,3,3,4,1,1,,,,,
08/04/2024 11:56:36,11:55:00,4,4,1,4,2,2,4,2,5,2,4,,,,,
08/04/2024 12:55:52,10:00:00,5,2,4,2,1,1,3,2,5,1,2,,,,,
08/04/2024 23:26:41,23:00:00,2,2,2,3,1,1,1,1,6,5,3,,,,,
09/04/2024 20:11:18,20:09:00,4,4,1,6,1,2,4,3,6,2,4,,,,,
10/04/2024 11:11:01,11:09:00,3,2,1,5,1,2,3,2,5,2,2,,,,,
11/04/2024 14:26:44,14:20:00,4,4,2,4,1,2,4,3,4,1,1,,,,,
02/05/2024 16:29:51,,4,4,3,,1,,1,4,4,,2,,Mann,21,Android,400
02/05/2024 16:29:58,16:28:00,4,4,1,5,2,3,1,4,5,1,3,,Frau,20,iOS,800
02/05/2024 16:30:01,16:14:00,3,3,5,3,3,2,2,3,5,2,2,,Frau,21,iOS,350
02/05/2024 16:30:16,16:29:00,2,2,6,6,1,1,6,6,4,1,3,,Frau,23,iOS,800
02/05/2024 16:30:19,16:29:00,2,2,6,6,1,1,6,6,4,1,3,,Frau,23,iOS,800
02/05/2024 16:30:20,16:29:00,3,5,1,6,1,2,5,4,6,2,4,,Frau,18,Android,350
02/05/2024 16:30:37,16:20:00,2,5,2,4,3,3,3,3,4,2,4,,Mann,19,iOS,1000
02/05/2024 16:30:42,16:20:00,1,2,2,4,1,1,6,5,3,1,5,,Mann,22,iOS,1200
02/05/2024 16:30:43,16:00:00,2,2,1,6,1,1,3,4,2,1,1,,Frau,19,iOS,1000
02/05/2024 16:30:45,16:29:00,3,4,3,5,2,2,2,4,5,4,3,,Frau,20,iOS,800
02/05/2024 16:30:45,16:29:00,5,5,2,6,3,2,5,5,5,4,5,,Frau,20,iOS,1000
02/05/2024 16:30:45,16:20:00,3,3,1,3,2,1,2,4,5,1,3,,Frau,19,iOS,700
02/05/2024 16:30:46,16:00:00,4,4,4,3,4,5,5,5,6,3,4,,Frau,20,Android,700
02/05/2024 16:30:48,16:30:00,5,5,2,6,2,2,5,4,5,4,4,,Mann,19,Android,300
02/05/2024 16:30:49,16:29:00,5,4,2,6,5,3,5,4,5,2,3,,Frau,22,iOS,240
02/05/2024 16:30:49,16:00:00,2,4,1,6,1,1,2,2,2,1,3,,Frau,21,iOS,800
02/05/2024 16:30:52,16:00:00,5,6,4,6,2,3,3,6,6,4,5,,Frau,20,Android,370
02/05/2024 16:30:53,16:25:00,2,2,1,6,2,2,5,3,5,2,3,,Frau,21,iOS,950
02/05/2024 16:30:57,16:29:00,5,5,2,3,5,2,2,4,6,3,4,,Frau,18,iOS,650
02/05/2024 16:30:58,16:00:00,4,2,3,5,2,2,3,4,5,1,2,,Mann,29,iOS,1000
02/05/2024 16:31:07,16:15:00,4,2,1,5,2,2,4,4,4,2,3,,Frau,19,iOS,1200
02/05/2024 16:31:07,16:25:00,5,4,2,6,2,2,6,2,6,4,5,,Frau,20,iOS,1000
02/05/2024 16:31:08,16:29:00,3,2,2,4,1,1,4,5,6,1,4,,Frau,21,iOS,650
02/05/2024 16:31:10,,4,3,1,4,1,1,5,4,5,5,1,,Frau,18,Android,400
02/05/2024 16:31:12,16:00:00,3,3,1,4,2,1,4,4,5,1,2,,Frau,24,Android,400
02/05/2024 16:31:13,16:30:00,2,3,5,5,3,2,6,4,5,2,3,,Frau,19,iOS,400
02/05/2024 16:31:15,16:29:00,4,2,1,5,2,1,3,3,1,2,2,,Frau,23,iOS,0
02/05/2024 16:31:18,16:30:00,6,6,2,5,4,3,6,5,6,5,5,,Frau,20,iOS,950
02/05/2024 16:31:21,16:20:00,4,4,1,2,2,2,2,3,5,2,1,,Frau,22,iOS,700
02/05/2024 16:31:25,16:00:00,2,3,1,3,1,1,1,1,2,1,1,,Frau,20,iOS,500
02/05/2024 16:31:26,16:00:00,4,3,1,4,1,2,4,5,6,1,3,,Frau,20,iOS,0
02/05/2024 16:31:27,16:28:00,2,2,1,4,2,2,2,2,6,2,2,,Frau,20,Android,350
02/05/2024 16:31:28,16:28:00,6,6,1,6,3,2,6,3,6,2,5,,Mann,19,iOS,1000
02/05/2024 16:31:30,16:30:00,4,3,2,4,1,3,3,3,5,3,4,,Frau,21,iOS,250
02/05/2024 16:31:31,16:29:00,4,4,4,6,5,5,6,6,6,3,3,,Frau,19,iOS,900
02/05/2024 16:31:31,16:30:00,3,5,1,4,3,2,2,5,3,1,2,,Frau,20,Android,300
02/05/2024 16:31:32,16:03:00,2,3,5,6,3,3,5,3,5,2,4,,Frau,21,iOS,450
02/05/2024 16:31:34,16:29:00,4,4,2,4,2,1,4,5,4,1,2,,Frau,19,iOS,
02/05/2024 16:31:42,16:26:00,3,4,2,5,2,2,4,4,4,1,3,,Frau,23,iOS,600
02/05/2024 16:31:51,16:30:00,4,4,3,5,1,2,4,5,5,3,4,,Frau,20,iOS,900
02/05/2024 16:32:02,16:30:00,3,2,1,1,3,2,4,4,1,1,3,,Frau,20,Android,550
02/05/2024 16:32:07,16:30:00,6,6,4,3,3,2,4,4,4,4,5,,Frau,21,iOS,1200
02/05/2024 16:32:13,16:29:00,4,4,4,5,3,4,5,6,6,5,4,,Frau,18,iOS,750
02/05/2024 16:32:20,16:30:00,2,1,2,2,1,1,3,2,2,1,1,,Frau,28,iOS,899
02/05/2024 16:32:36,16:25:00,3,4,1,4,3,3,4,6,6,2,3,,Frau,19,iOS,800